Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
18:50:55,1311,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,133,164,5,14,3.032,16,0,0,16,18,255,146,64,25,255,255,1,1,121,101,0,255,120,255,255,53,136,127,89,255,19,64,21,128,26,0,41,192,42
18:50:55,1307,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,133,171,5,14,3.036,16,0,0,16,18,255,146,64,21,255,255,1,1,121,101,0,255,120,255,255,53,136,127,88,255,19,64,21,128,26,0,41,192,42
18:50:56,1306,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,133,170,5,14,3.032,16,0,0,16,18,255,146,64,155,255,255,1,1,121,100,0,255,120,255,255,53,136,127,86,255,19,64,21,128,26,0,41,192,42
18:50:56,1306,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,133,171,5,14,3.022,16,0,0,16,18,255,146,64,35,255,255,1,1,121,101,0,255,119,255,255,53,136,127,70,255,19,64,21,128,26,0,41,192,42
18:50:57,1294,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,180,5,14,3.014,16,0,0,16,18,255,146,64,24,255,255,1,1,121,101,0,255,119,255,255,53,136,127,78,255,19,64,21,128,26,0,41,192,42
18:50:57,1310,45,57,18,57,32,13.2,0.58,0,0,1,0,32,55,135,132,165,5,14,3.028,16,0,0,16,18,255,146,64,113,255,255,1,1,121,100,0,255,119,255,255,53,136,127,88,255,19,64,21,128,26,0,41,192,42
18:50:58,1308,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,132,180,5,14,3.018,16,0,0,16,18,255,146,64,27,255,255,1,1,121,102,0,255,119,255,255,53,136,127,84,255,19,64,21,128,26,0,41,192,42
18:50:58,1301,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,168,5,14,3.024,16,0,0,16,18,255,146,64,23,255,255,1,1,121,103,0,255,119,255,255,53,136,127,90,255,19,64,21,128,26,0,41,192,42
18:50:58,1313,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,167,5,14,3.028,16,0,0,16,18,255,146,64,143,255,255,1,1,121,101,0,255,119,255,255,53,136,127,89,255,19,64,21,128,26,0,41,192,42
18:50:59,1303,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,183,5,14,3.026,16,0,0,16,18,255,146,64,28,255,255,1,1,121,103,0,255,119,255,255,53,136,127,65,255,19,64,21,128,26,0,41,192,42
18:50:59,1278,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,132,188,5,14,3.02,16,0,0,16,18,255,146,64,22,255,255,1,1,121,103,0,255,119,255,255,53,136,127,59,255,19,64,21,128,26,0,41,192,42
18:51:00,1281,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,195,5,14,3.114,16,0,0,16,18,255,146,64,22,255,255,1,1,121,104,0,255,119,255,255,53,136,127,68,255,19,64,21,128,26,0,41,192,42
18:51:00,1293,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,185,5,14,3.03,16,0,0,16,18,255,146,64,20,255,255,1,1,121,104,0,255,119,255,255,53,136,127,68,255,19,64,21,128,26,0,41,192,42
18:51:01,1287,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,132,175,5,14,3.026,16,0,0,16,18,255,146,64,93,255,255,1,1,121,103,0,255,119,255,255,53,136,127,89,255,19,64,21,128,26,0,41,192,42
18:51:01,1312,46,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,132,170,5,14,3.108,16,0,0,16,18,255,146,64,155,255,255,1,1,121,103,0,255,119,255,255,53,136,127,67,255,19,64,21,128,26,0,41,192,42
18:51:02,1284,46,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,132,196,5,14,3.094,16,0,0,16,18,255,146,64,33,255,255,1,1,121,104,0,255,119,255,255,53,136,127,57,255,19,64,21,128,26,0,41,192,42
18:51:02,1277,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,197,5,14,3.17,16,0,0,16,18,255,146,64,23,255,255,1,1,121,105,0,255,119,255,255,53,136,127,62,255,19,64,21,128,26,0,41,192,42
18:51:02,1285,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,185,5,14,3.19,16,0,0,16,18,255,146,64,26,255,255,1,1,121,105,0,255,119,255,255,53,136,127,72,255,19,64,21,128,26,0,41,192,42
18:51:03,1286,46,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,179,5,14,3.082,16,0,0,16,18,255,146,64,27,255,255,1,1,121,106,0,255,119,255,255,53,136,127,91,255,19,64,21,128,26,0,41,192,42
18:51:03,1303,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,175,5,14,3.17,16,0,0,16,18,255,146,64,162,255,255,1,1,121,104,0,255,119,255,255,53,136,127,79,255,19,64,21,128,26,0,41,192,42
18:51:04,1295,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,196,5,14,3.202,16,0,0,16,18,255,146,64,59,255,255,1,1,121,105,0,255,119,255,255,53,136,127,50,255,19,64,21,128,26,0,41,192,42
18:51:04,1266,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,204,5,14,3.108,16,0,0,16,18,255,146,64,25,255,255,1,1,121,105,0,255,119,255,255,53,136,127,72,255,19,64,21,128,26,0,41,192,42
18:51:05,1291,46,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,192,5,14,3.174,16,0,0,16,18,255,146,64,135,255,255,1,1,121,104,0,255,118,255,255,53,136,127,59,255,19,64,21,128,26,0,41,192,42
18:51:05,1281,46,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,190,5,14,3.102,16,0,0,16,18,255,146,64,114,255,255,1,1,121,104,0,255,118,255,255,53,136,127,64,255,19,64,21,128,26,0,41,192,42
18:51:06,1275,46,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,204,5,14,3.1,16,0,0,16,18,255,146,64,27,255,255,1,1,121,106,0,255,118,255,255,53,136,127,52,255,19,64,21,128,26,0,41,192,42
18:51:06,1269,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,198,5,14,3.19,16,0,0,16,18,255,146,64,86,255,255,1,1,121,105,0,255,118,255,255,53,136,127,62,255,19,64,21,128,26,0,41,192,42
18:51:06,1290,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,179,5,14,3.094,16,0,0,16,18,255,146,64,155,255,255,1,1,121,104,0,255,118,255,255,53,136,127,66,255,19,64,21,128,26,0,41,192,42
18:51:07,1282,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,203,5,14,3.102,16,0,0,16,18,255,146,64,92,255,255,1,1,121,105,0,255,118,255,255,53,136,127,51,255,19,64,21,128,26,0,41,192,42
18:51:07,1275,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,201,5,14,3.086,16,0,0,16,18,255,146,64,29,255,255,1,1,121,105,0,255,118,255,255,53,136,127,66,255,19,64,21,128,26,0,41,192,42
18:51:08,1280,46,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,186,5,14,3.092,16,0,0,16,18,255,146,64,37,255,255,1,1,121,106,0,255,118,255,255,53,136,127,71,255,19,64,21,128,26,0,41,192,42
18:51:08,1300,46,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,174,5,14,3.096,16,0,0,16,18,255,146,64,155,255,255,1,1,121,105,0,255,118,255,255,53,136,127,80,255,19,64,21,128,26,0,41,192,42
18:51:09,1296,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,186,5,14,3.096,16,0,0,16,18,255,146,64,94,255,255,1,1,121,104,0,255,118,255,255,53,136,127,76,255,19,64,21,128,26,0,41,192,42
18:51:09,1297,46,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,184,5,14,3.102,16,0,0,16,18,255,146,64,110,255,255,1,1,121,105,0,255,118,255,255,53,136,127,65,255,19,64,21,128,26,0,41,192,42
18:51:10,1288,47,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,192,5,14,3.086,16,0,0,16,18,255,146,64,29,255,255,1,1,121,106,0,255,118,255,255,53,136,127,63,255,19,64,21,128,26,0,41,192,42
18:51:10,1279,47,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,188,5,14,3.094,16,0,0,16,18,255,146,64,22,255,255,1,1,121,107,0,255,118,255,255,53,136,127,82,255,19,64,21,128,26,0,41,192,42
18:51:11,1294,47,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,191,5,14,3.082,16,0,0,16,18,255,146,64,73,255,255,1,1,121,106,0,255,118,255,255,53,136,127,74,255,19,64,21,128,26,0,41,192,42
18:51:11,1290,47,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,179,5,14,3.082,16,0,0,16,18,255,146,64,45,255,255,1,1,121,106,0,255,118,255,255,53,136,127,80,255,19,64,21,128,26,0,41,192,42
18:51:12,1298,47,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,181,5,14,3.094,16,0,0,16,18,255,146,64,94,255,255,1,1,121,105,0,255,118,255,255,53,136,127,74,255,19,64,21,128,26,0,41,192,42
18:51:12,1288,47,57,18,57,33,13.1,0.58,0,0,1,0,32,55,135,132,193,5,14,3.096,16,0,0,16,18,255,146,64,149,255,255,1,1,121,104,0,255,118,255,255,53,136,127,59,255,19,64,21,128,26,0,41,192,42
18:51:12,1275,47,57,18,57,34,13.1,0.58,0,0,1,0,32,55,135,132,195,5,14,3.086,16,0,0,16,18,255,146,64,28,255,255,1,1,121,106,0,255,118,255,255,53,136,127,42,255,19,64,21,128,26,0,41,192,42
18:51:13,1261,47,57,18,57,35,13.1,0.58,0,0,1,0,32,55,135,132,202,5,14,3.08,16,0,0,16,18,255,146,64,20,255,255,1,1,121,106,0,255,118,255,255,53,136,127,65,255,19,64,21,128,26,0,41,192,42
